Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Salesforce administrator,5.0,2020-01-23,"Current employee, less than 1 year","I just had an amazing interview and offer process from Bolt. Everyone is extremely passionate about the work and very excited to be there helping the company grow. I am so excited to start working with Bolt and all the wonderful people there.Everyone is also very vested in each other to really help everyone reach 10x their potential. The interview process was very good with treats, dogs and a wonderful atmosphere. Again I cannot wait to have my first day with Bolt.",Not available at this time.,Bolt
Enterprise account executive,5.0,2018-06-15,"Current employee, less than 1 year"," Amazing product that resonates with the target market An energetic, hardworking, and incredibly intelligent team Truly flat org where your input is not only listened to but acted upon Fast paced Did I mention our amazing team? Bolt is going to completely revolutionize payments. We aren't simply building the next new API to access oldschool payment infrastructure. We're changing the game.", Cons are hard to find. Some days the music is bad?,Bolt
Product manager,5.0,2021-09-13,"Current employee, less than 1 year","1. Fast moving company with deep running values which I love2. Every single person I have talked to is passionate about what they're doing at Bolt 3. Huge emphasis on team culture, supporting employees and helping everyone feel included4. Tons of opportunity to innovate and learn/grow on an individual level",The company is establishing new processes to allow sustainable growth which can take some getting used to,Bolt
Director,5.0,2021-09-10,"Current employee, less than 1 year","Ambitious mission that has plenty of room for growth Smart, capable people who are pretty nice A thoughtful approach to culture that genuinely stresses worklife balance and employee wellness Room for growth personally and professionally",It's a company going through hypergrowth and figuring out where processes can help to scale.,Bolt
Senior director revenue operations,5.0,2021-12-29,"Current employee, less than 1 year","Bolt is one of the best companies I've worked for yet. I feel very fortunate to work here. We move fast, we have fun, we genuinely care about each other, and we get stuff done. 5 stars all the way","With such a great product and high demand in the marketplace, coupled with explosive growth of the company it's hard to keep up with hiring needs.",Bolt
Strategic finance,5.0,2020-05-13,"Current employee, less than 1 year",Strong support; management willing to be flexible and listen to new opinions; datadriven strategy; room for internal development / advancement; wellpositioned to take advantage of macro ecommerce trends,Team is young and still developing expertise in certain areas; overindexed on G&A; long hours impact work/life balance,Bolt
Recruiting coordinator,5.0,2021-09-01,"Current employee, less than 1 year", Some of the best people you'll ever work with Leadership that prioritizes worklife balance and makes sure their employees aren't overworked Great benefits Emphasis on communication and transparency Clear values and objectives Camaraderie and teamwork are prioritized,"Like any startup, there's a certain amount of chaos to be expected",Bolt
Sales development representative (sdr),4.0,2021-05-18,"Former employee, more than 1 year","Great culture, great benefits, awesome workspace, incredible product, smart team, fastpaced, awesome worklife balance",Opportunities to for promotion and growth are limited. The company has a tendency to look outside of the organization for talent rather than looking inward to those who deserve a promotion. That said many positions seems to also be a deadend.,Bolt
It support specialist,5.0,2021-08-31,"Current employee, less than 1 year",Lots of chance to grow in new roles and currently roles.Managers are always willing to go out of their way to help you growCEO cares about work life balance and does his best to accommodate that,I have no cons atm,Bolt
Director sales,2.0,2022-06-15,"Former employee, less than 1 year","Cash, remote, always in the news!",Mentally insane Founder/Chairmen who Tweet storms “take downs” of respectable companies and individuals. Serious lack of business leadership.,Bolt
Sales engineer,2.0,2022-06-18,Former employee,4 day work week is fun,"It's more the idea of a company, something that makes a cool marketing campaign, than a company with a clear and cohesive strategy",Bolt
Director of enterprise sales,5.0,2021-10-18,"Current employee, more than 3 years",Awesome leadership and product. This company could be bigger than Afterpay.,Checkout is complex and integrations can be challenging. Not a suitable solution for SMBs.,Bolt
Fp&a analyst,5.0,2021-05-12,Current employee," Humble, topperforming team Hypergrowth business", No cons of note,Bolt
Security engineer,4.0,2022-05-28,"Current employee, less than 1 year",Really cool product. Loads of smart people.,Still unclear if leadership can drive results.,Bolt
Designer,5.0,2021-01-08,Former employee,Work environment fosters growth and learning.,None that come to mind,Bolt
Senior account executive,1.0,2022-09-01,Former employee,Work life balance: 4 day work weekAbout it.,Inflated valuationPoor managementBelow market salaryLayoffsPoor culture Minimal opportunity for progressionFaulty productDo not recommend,Bolt
Sde-2,4.0,2025-05-27,"Current employee, more than 1 year",Awesome product and have great things to learn,Lack of Product input makes things move harder,Bolt
Integration engineer,2.0,2024-07-17,"Former employee, less than 1 year","compensation, unlimited vacation, competitive salary",culture was not the best place to work,Bolt
Social media support specialist,4.0,2024-06-29,Current employee,Inclusion and innovation is largely encouraged.,BPO has taken over the support space.,Bolt
