Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Associatesoftwareengineer,4.0,2023-12-31,Current employee,Good salary and work life balance,Stick to particular type of work,Google
Sales And Marketing Apprentice,5.0,2023-11-13,Former employee," Scope of work international  Wonderful teammate, openminded and always eager to help, very competent  Exceptional work culture  CE, cantine", Lots of process in recruitment and daily work,Google
Progrm Manager,1.0,2024-02-15,"Current employee, more than 1 year",You are free to do whatever you want,very toxic culture and poor management,Google
Technical Program Manager Iii,4.0,2023-09-15,"Current employee, more than 3 years","Pay, Benefits, The technology and coworkers are generally awesome.","Long hours aka the golden handcuffs. As a TPM and after the layoffs, TPMs are currently stretched very thin and it isn't possible to keep from dropping the occasional ball which reflects poorly on the individual. Influence without authority is challenging at points.",Google
Research Assistnat,5.0,2023-12-21,"Current employee, less than 1 year","Nice people, good pay, nice office","Early Starts, Tough Deadlines, Limited Parking",Google
"Senior Product Manager, Ai/Ml",4.0,2023-10-21,"Current employee, more than 1 year","Great Offices, Great Food, Smart People","Long Hours, Politics, and a high chance of changing directions without warning.",Google
Administrative Coordinator,4.0,2023-08-18,Former employee,Great pay and perks. Ability to learn a new role and apply within the company without retaliation. Google encourages employees to continue growing in their careers or train for a new one.,People managers... People are very entitled and folks are constantly backstabbing each other to stand out. People of color are not treated equally in some Orgs.,Google
Sr. Architect,5.0,2023-12-27,"Current employee, more than 3 years",Nice Culture Nice people Nice food,Bad Management Strict timing Mangers are not cooperative,Google
Datascience,5.0,2023-12-20,Current employee,weri rufcn xasrvff rtfgrfg dwedrfvredw,cfdve grtfcwet gbvwefr rfvegt gvtrefdwrf,Google
Sales Operations Manager,5.0,2023-12-10,Former employee,"Salary, smart colleagues, obvious office perks",Too many people competing for few promos,Google
Dataentry,5.0,2023-07-29,"Current employee, less than 1 year",I am a computer operator.,"My name is MD.MCons as an abbreviation: ""Cons"" is short for ""consider"" or ""consult."" It is often used as a heading or label in documents or communications to indicate that the listed information should be taken into consideration or that someone should consult the mentioned details.ohiuddin",Google
Capacity Planner,3.0,2023-12-22,"Current employee, more than 5 years",Good pay Flexible schedule Mostly capable employees,Long hours Commute Office politics,Google
Tsc Consultant,5.0,2023-12-10,Former employee,"Amenities, Work environment, Experts around you to help you.",Maybe slow growht after joining for ever changing industry,Google
Junior Quant Analyst,5.0,2023-11-30,Current employee,"WORK LIFE BALANCE, CHALLENGING WORK",management trend to overlook the prequisites,Google
Senior Security Engineer,2.0,2023-11-20,"Current employee, more than 3 years","Good conditions: salary, free food, free gym, lots of perks Engineers are very nice and helpful.",The nice culture we had is gone.,Google
Fp&A Manager,5.0,2023-12-20,"Former employee, more than 1 year",cool company with lots to learn,expected to be on call 24/7,Google
Evp,5.0,2023-12-18,Current employee,Pay is a great part of the job,Growth is huge here and always,Google
