Job Title,Job Ratings,time,JobStatus,Pros,Cons
Anonymous employee,4.0,"Mar 22, 2016",Former employee,"- Awesome total compensation: salary, bonus, stock
- Easy to move within the company
- Does good things for the community: Giving Campaign
- Excellent health insurance, vacation, perks","- Large organization, can be frustrating during re-orgs
- Not innovating as much in certain spaces
- Lots of politics and management heavy, hard to get things done quickly without approval"
Program manager,4.0,"Apr 21, 2016","Former employee, more than 10 years","Good salary and review payouts
Awesome teams 
Lots of room to move to other groups/teams
Awesome work life balance and support working from home","Senior management decisions
Working with groups that have no clue what we do, but expect us to do everything"
Sdm,5.0,"Jul 27, 2016","Current employee, more than 10 years",Great Diversity with trust as core philosophy that runs the company,"Ladder growth becomes difficult for quite a few even after sustained, performance due to political reasons"
Anonymous employee,5.0,"Sep 14, 2016",Former employee,"The environment of Microsoft is great, you can meet people with strong tech backing and learn from them.","Sometimes the work at the Support Group is a little tedious, surely you can learn a lot about Microsoft products, but it does not seems to be quite useful if you want to find a job at another company other than Microsoft."
Principal engineer,4.0,"Sep 16, 2016",Current employee,"Access to any resources (technology, training etc.).
Smart people to work with and learn from.
Many options available internally for horizontal career move.
Good Pay.","Big company - sometimes hard to implement changes.
Scope of work can look small for some people.
Culture varies by group - have to choose carefully."
Office support escalation engineer,5.0,"Dec 21, 2016","Current employee, more than 1 year","- Senior Leadership is leading the company to the right path on digital transformation. 
- Work remotely is a plus depending on the job role it is possible. 
- Solid company, different challenges every Fiscal Year","- Time consuming
- Sometimes life balance is not fair"
Software engineer,4.0,"Jan 6, 2017","Current employee, more than 1 year","Work-Life Balance
Earning Growth Potential
Benefits
Flexibility of hours
Job Stability
Great Pay
Lots of places to lateral move around to","Politics
Too Many Managers and PM creating a Bureaucratic Nightmare
Anti-MSFT makes it hard to transfer to another company
Lack of diversity"
Senior software development engineer,2.0,"Feb 2, 2017","Former employee, more than 5 years","Nice benefits, some orgs can be slow paced for ease of stress (or Azure which is a constant deathmarch)","Extremely toxic political environment. People are always fighting over ownership. There is another team in Microsoft doing exactly what you are and you'll clash over them. Lots of reorgs. Horrible open source software policy (It's gotten better, but still horrible)."
Concept illustrator,4.0,"Feb 3, 2017","Current employee, more than 5 years","Great food, great quality of life. Good people. Pretty relaxed atmosphere and a nice diversity of people. Pretty cushy. Beautiful campus.","Politics, politics, politics. Often the least skilled, qualified people are in the highest positions. And the inequality prevents great work from being done"
Operations manager,4.0,"Feb 11, 2017","Current employee, more than 5 years","Great Pay and Benefits, constantly learning new technology.","Constant re-orgs, not always performance based, but rather measured on popularity. Many aggressive people willing to take credit for other peoples work nd through teammates under the bus. Very hierarchical."
Anonymous employee,4.0,"Apr 19, 2017",Current employee,Good benefits. Civilized work environment. Flexibility to work on projects that interest us.,Acquisition of Microsoft = loss of momentum and sense of team. There are lots of growing pains.
Anonymous employee,5.0,"Apr 28, 2017","Current employee, more than 3 years","The chance to be part of the cutting edge of technology. Great compensation, fantastic benefits and access to the future.","Unless you are in the core locations, it is easy to feel disconnected from the direction of the company."
General manager,3.0,"May 11, 2017",Former employee,Brilliant people creating new and exciting technologies. Very collaborative and employee-forward HR.,"Incredibly HQ-centric. If you aren't in Redmond 3 out of 4 weeks every month, don't bother. You will be left out of major decisions, disempowered and eventually forgotten."
Senior solution specialist,1.0,"Jun 13, 2017","Current employee, more than 10 years",The people I worked with over the years were top notch.  It's sad to see all the experienced talent leaving for AWS!,Abundant age discrimination happening across the board lately.  They are working out long term employees and that is creating a talent gap - Sooo many are leaving for AWS it's CRAZY!!!
Anonymous employee,5.0,"Sep 5, 2017",Current employee,"* Good benefits
* Huge company, so there are opportunities if one seeks for it.","* Living in Microsoft bubble for too long can be detrimental to your market value.
* If you have a bad manager, change team asap and find a better fit.  There is no other way to fix it if you don't want to harm your career."
Software engineer,3.0,"Oct 20, 2017",Current employee,"Laid back, not many hours, slow, can move pretty easily if you want what more can I say. Word Word","Pay is only ok. Slow. You often find everything in windows is a hack on a hack on a hack, not maintainable at all"
Anonymous employee,5.0,"Dec 3, 2017",Current employee,"Challenged, growth, taken care, great management, established business, always leading tech.",You need you your current job to come to Microsoft :). Need to love seattle if you take a position at the head quarter.
Technical support engineer,5.0,"Dec 14, 2017","Current employee, less than 1 year",Good learning and working environment. Good people. Good payment. Growth. You can be the expert for the product. If you want to learn you can access to many resources.,Focus on one specific aspect of product. Don’t have a chance to access other aspects. If you stop learning you will not learn new things.
Cloud solution architect,5.0,"Jan 18, 2018","Current employee, more than 5 years","* Fantastic Benefits
* Competitive Salary
* Amazing people - Smartest people I have worked in 17 years of my professional life.
* I get paid to learn new technology and get a chance to change the world through my customers.",I love the company and my team. No cons.
Consumer service advisor,5.0,"Feb 10, 2018","Current employee, more than 3 years","Being available Service Advisor is overall a great experience, very fast paced and people focused. You're always meeting new people, in a great team and playing with the latest technology. Lots of great benefits",Being a retail job it doesn't ever provide a consistent schedule and provides a difficult work/life balance. It's very hard to take time off in the holidays.
Anonymous employee,4.0,"Jul 5, 2018","Current employee, more than 3 years",They listen and truly care about their employees. They provide us opportunities for improvement in the company.,"There isn't much negative things to say! Microsoft provides great benefits and allows for a great work/life balance. The only thing I wish is Microsoft market their Surface brands better. You don't see as much Surface commercials as you do Apple, Google, or Amazon."
Anonymous employee,5.0,"Nov 3, 2018","Current employee, more than 3 years","- Great vision
- Good leadership team under Satya
- Culture change for the good
- Good pay and benefits 
- Relocation options","- execution on culture change is not adopted by everybody 
- ESPP plan not very generous"
It architect,3.0,"Jun 12, 2019","Former employee, more than 8 years","Learning, compensation, working with large organizations",Company seems to making a switch to contact staff instead of fulltime. A lot of positions (including mine) have been eliminated and replaced with contractors. Focus seems to be on cutting cost and stock price; employees are no longer valued and viewed as an asset.
Software development engineer-ii,3.0,"Aug 15, 2019","Current employee, more than 8 years","Surrounded by brilliant people, work on projects with major impact, work with people from around the world","Corporate structure, sometimes slow to move or change direction, promotion is not necessarily about merit, job is often all-consuming"
Principal software engineering manager,5.0,"Sep 4, 2019","Current employee, more than 10 years",Microsoft is definitely one of the best companies to work for. The best thing about Microsoft is that you get to work on almost anything that are cutting edge in the tech industry.,At times you might feel that Microsoft is a bit laid back in some areas and you would feel that you needed more momentum to get going.
Director of infrastructure engineering,2.0,"Jul 16, 2020","Former employee, more than 10 years",Great people who are eager to collaborate and learn,"Poor management who do whatever they can to climb the level ladder. 
20% of the company actually contributes to its success, and the rest are bloated management and overhead."
Senior applied scientist,4.0,"Sep 10, 2020","Former employee, more than 1 year","• Microsoft pays well, and in many units has evolved to be supportive and collaborative. (The old days were another matter, apparently.)
• Interesting problems to work on.","• Vast organization, with infrastructure distributed throughout the world; can only know a tiny part of it well
• My area was too siloed
• Not always clear how to get needed information, who would have that knowledge"
Analyst,4.0,"Jan 15, 2021",Current employee,"- Compared to the other big technology companies and unicorns, Microsoft is the middle child in terms of keeping up with trends
- Microsoft continues to build its SaaS cloud platform
- Team members within my group are collaborative and easy to talk to","- Given that Microsoft is such a broad organization, communication between business units can be seen as difficult"
Senior cloud solution architect,5.0,"Feb 16, 2021","Current employee, more than 1 year","You learn a lot. You are surrounded by super smart, type A personalities. Everyone is driven.",You work a lot. A lot of this is because everyone works a lot. You either love it or hate it.
Digital sales representative,5.0,"Mar 2, 2021","Current employee, more than 10 years",Great benefits. Great management. Very inclusive. Open minded culture. Everyone wants you to succeed and help you with your goals.,Some days are longer than others. Can be overwhelming when learning new products and time consuming. This is normal at most jobs.
Anonymous employee,5.0,"Aug 17, 2021","Current employee, more than 5 years","salary and benefits are good. but it is like making a deal with the devil. between stock and 401k matching, if you do it right, you'll make a lot.",I was forced to leave a review. don't care to provide any cons for Microsoft. it depends on the group in which you are in.
Product advisor,3.0,"Aug 29, 2021",Former employee,There are a good amount of benefits and helping customers is fun.,"Favoritism, even if you a hard worker if the managers likes a certain employee they will turn a blind eye towards them and offer them a fulltime slot or a change of position before they offer you one."
Business administrator,5.0,"Oct 7, 2021","Former employee, more than 3 years",Positive and family like organization with proactive leadership. This organization is wonderful and the attitude and culture are positive and uplifting. Everyone wants to succeed and help their team mates to succeed. Nothing but great things to say.,Wish they offered more remote positions! Or started a satellite office in Bozeman MT!
Anonymous employee,3.0,"Oct 27, 2021",Current employee,"Might be considered one of the still successful legacy tech companies out there, but the work being done in the cloud space will keep us innovative and fresh.",Pay not as competitive as newer tech companies. Still some old school mentality in certain organizations that could use a serious revamp.
Program manager ii,3.0,"Nov 16, 2021","Current employee, more than 1 year","* can work remote
* they mostly leave you alone to do work
* PTO mostly not used
* benefits decent","* on call
* positions requiring in-person get the worst of both worlds. Must be on-site, and also more or less at any time vs. being on site with your own schedule"
Principal design manager,5.0,"Dec 3, 2021","Current employee, more than 5 years","Microsoft continues to shift towards being a more inclusive. Most teams collaborate verses compete and the culture is wonderful if you find the right team. 

The benefits are best in class.",Struggling to keep up with compensation trends causing departures of talented folks. Promotion requirements vary between organizations and are inconsistent.
Azure sales specialist,3.0,"Jun 5, 2022","Current employee, more than 3 years","Good cloud strategy
great virtual technical resources","poor local tech resource alignment
Not enough focus on app modernization
Territories and teams change too much, no continuity with customers"
Sr. customer engineer,4.0,"Aug 10, 2022","Current employee, more than 1 year","* Sign On Bonus & Stock Award
* Interesting Customer Projects
* Focus on Employee Learning, Skilling & Training",* Bring your full self to work only if you tote the company line on cultural and political issues.
Global black belt,5.0,"Oct 1, 2022","Current employee, more than 5 years","-Great compensation and decent work-life balance
-Microsoft has some really interesting product areas and innovation in the right teams
-Overall, it feels like the company really cares about it's employees and making a positive difference in the community and on society","-Not much room in terms of career development
-Product team can take forever to deliver new features
-Internal Sales leadership can micro-manage sometimes"
Business analyst,4.0,"Jun 17, 2008",Former employee,Career advancement opportunities are good.  Microsoft is dedicated to a corporate culture that inspires and rewards its employees.,Overall bad reputation in the industry in terms of being a monopoly.  Not everyone you meet will share the same views of Microsoft as you.
Senior product manager,5.0,"May 27, 2009",Former employee,"Great benefits, smart people, career opportunities. They know what they're doing as far as enterprise applications. Nice work environment.","If you're in some groups, it's work work work. In others it can be pretty laid back. It just depends. Your friends complain to you about Microsoft products."
Program manager,3.0,"Oct 1, 2009",Current employee,"Flexible work, okay paystub,benefit is very nice","Review system sucks. I don't like the way they meseaure people. Some bad managers as I heard of. My manager is okay, that is why i stay with same group for long time"
